T,V,I,realV,realI,q,R
-250.0794074,0.205618206,0.270012434,0.205618206,5.40025E-05,0,3807.569209
-250.0294074,0.203628603,0.268270803,0.203628603,5.36542E-05,2.69142E-06,3795.206201
-249.9794074,0.2020701,0.265324559,0.2020701,5.30649E-05,5.35939E-06,3807.979564
-249.9294074,0.200280797,0.262829431,0.200280797,5.25659E-05,8.00016E-06,3810.090748
-249.8794074,0.198292138,0.260269463,0.198292138,5.20539E-05,1.06157E-05,3809.362335
-249.8294074,0.196533359,0.257873531,0.196533359,5.15747E-05,1.32064E-05,3810.653975
-249.7794074,0.194496059,0.255374606,0.194496059,5.10749E-05,1.57726E-05,3808.054024
-249.7294074,0.192667631,0.252796503,0.192667631,5.05593E-05,1.83135E-05,3810.725799
-249.6794074,0.190878319,0.250435875,0.190878319,5.00872E-05,2.08296E-05,3810.922032
-249.6294074,0.189107141,0.247710894,0.189107141,4.95422E-05,2.33204E-05,3817.093745
-249.5794074,0.187180475,0.245528622,0.187180475,4.91057E-05,2.57866E-05,3811.785232
-249.5294074,0.185441719,0.24318325,0.185441719,4.86367E-05,2.82301E-05,3812.797936
-249.4794074,0.183602813,0.240574634,0.183602813,4.81149E-05,3.06489E-05,3815.922094
-249.4294074,0.181847844,0.238110038,0.181847844,4.7622E-05,3.30423E-05,3818.567366
-249.3794074,0.179801,0.235819028,0.179801,4.71638E-05,3.5412E-05,3812.266581
-249.3294074,0.177999272,0.233640578,0.177999272,4.67281E-05,3.77593E-05,3809.254225
-249.2794074,0.176291981,0.230995719,0.176291981,4.61991E-05,4.00825E-05,3815.914472
-249.2294074,0.174333866,0.228917409,0.174333866,4.57835E-05,4.2382E-05,3807.789589
-249.1794074,0.172514044,0.226458538,0.172514044,4.52917E-05,4.46589E-05,3808.954294
-249.1294074,0.17055115,0.2237431,0.17055115,4.47486E-05,4.69099E-05,3811.316416
-249.0794074,0.169017441,0.2214807,0.169017441,4.42961E-05,4.9136E-05,3815.624581
-249.0294074,0.167160413,0.218955063,0.167160413,4.3791E-05,5.13382E-05,3817.231047
-248.9794074,0.165267144,0.216157581,0.165267144,4.32315E-05,5.35138E-05,3822.839402
-248.9294074,0.163410091,0.2136949,0.163410091,4.2739E-05,5.5663E-05,3823.443859
-248.8794074,0.161406188,0.211634716,0.161406188,4.23269E-05,5.77897E-05,3813.320207
-248.8294074,0.159644531,0.209039456,0.159644531,4.18079E-05,5.98931E-05,3818.526275
-248.7794074,0.157600563,0.206443238,0.157600563,4.12886E-05,6.19705E-05,3817.043474
-248.7294074,0.155902825,0.204385909,0.155902825,4.08772E-05,6.40246E-05,3813.932807
-248.6794074,0.153980925,0.201506419,0.153980925,4.03013E-05,6.60541E-05,3820.744916
-248.6294074,0.152357578,0.199294572,0.152357578,3.98589E-05,6.80581E-05,3822.421672
-248.5794074,0.150449041,0.196710763,0.150449041,3.93422E-05,7.00381E-05,3824.11818
-248.5294074,0.148424141,0.194238534,0.148424141,3.88477E-05,7.19929E-05,3820.666715
-248.4794074,0.146802697,0.192262278,0.146802697,3.84525E-05,7.39254E-05,3817.7717
-248.4294074,0.144761603,0.189732828,0.144761603,3.79466E-05,7.58353E-05,3814.880233
-248.3794074,0.143007575,0.187071741,0.143007575,3.74143E-05,7.77194E-05,3822.265579
-248.3294074,0.141042753,0.184926675,0.141042753,3.69853E-05,7.95793E-05,3813.477778
-248.2794074,0.139407938,0.182226481,0.139407938,3.64453E-05,8.14151E-05,3825.128394
-248.2294074,0.137705441,0.179718969,0.137705441,3.59438E-05,8.32248E-05,3831.132617
-248.1794074,0.135573722,0.177257241,0.135573722,3.54514E-05,8.50097E-05,3824.208292
-248.1294074,0.133636556,0.174642903,0.133636556,3.49286E-05,8.67692E-05,3825.994468
-248.0794074,0.131661263,0.172617047,0.131661263,3.45234E-05,8.85055E-05,3813.680771
-248.0294074,0.130020747,0.169501963,0.130020747,3.39004E-05,9.02161E-05,3835.375855
-247.9794074,0.128029256,0.167413156,0.128029256,3.34826E-05,9.19007E-05,3823.751344
-247.9294074,0.126426866,0.164900872,0.126426866,3.29802E-05,9.35623E-05,3833.420169
-247.8794074,0.124530734,0.162436284,0.124530734,3.24873E-05,9.51989E-05,3833.217894
-247.8294074,0.12262505,0.160142419,0.12262505,3.20285E-05,9.68118E-05,3828.624888
-247.7794074,0.120808078,0.157680684,0.120808078,3.15361E-05,9.8401E-05,3830.782401
-247.7294074,0.118845191,0.155065391,0.118845191,3.10131E-05,9.99647E-05,3832.09916
-247.6794074,0.117059684,0.152651344,0.117059684,3.05303E-05,0.000101503,3834.217292
-247.6294074,0.115335228,0.150360338,0.115335228,3.00721E-05,0.000103018,3835.294269
-247.5794074,0.113561191,0.147830888,0.113561191,2.95662E-05,0.000104509,3840.91554
-247.5294074,0.111266378,0.145337688,0.111266378,2.90675E-05,0.000105975,3827.857042
-247.4794074,0.109613438,0.142994216,0.109613438,2.85988E-05,0.000107417,3832.792712
-247.4294075,0.107686791,0.140297847,0.107686791,2.80596E-05,0.000108833,3837.791991
-247.3794075,0.10596615,0.137971553,0.10596615,2.75943E-05,0.000110225,3840.144856
-247.3294075,0.103888797,0.135425884,0.103888797,2.70852E-05,0.000111592,3835.63295
-247.2794075,0.10210043,0.133214047,0.10210043,2.66428E-05,0.000112935,3832.194604
-247.2294075,0.100158507,0.131019372,0.100158507,2.62039E-05,0.000114256,3822.278559
-247.1794075,0.098267149,0.128627275,0.098267149,2.57255E-05,0.000115554,3819.841063
-247.1294075,0.096578942,0.126061572,0.096578942,2.52123E-05,0.000116828,3830.625786
-247.0794075,0.094388085,0.123479656,0.094388085,2.46959E-05,0.000118075,3822.009559
-247.0294075,0.093234952,0.121154313,0.093234952,2.42309E-05,0.000119299,3847.776854
-246.9794075,0.09107557,0.118577159,0.09107557,2.37154E-05,0.000120497,3840.350472
-246.9294075,0.089371144,0.115980938,0.089371144,2.31962E-05,0.00012167,3852.837643
-246.8794075,0.087459748,0.113756716,0.087459748,2.27513E-05,0.000122819,3844.157552
-246.8294075,0.085534043,0.111210094,0.085534043,2.2242E-05,0.000123943,3845.606121
-246.7794075,0.083800053,0.108879975,0.083800053,2.1776E-05,0.000125044,3848.276637
-246.7294075,0.081777063,0.106252297,0.081777063,2.12505E-05,0.00012612,3848.249178
-246.6794075,0.079983937,0.103822982,0.079983937,2.07646E-05,0.00012717,3851.937957
-246.6294075,0.078145027,0.101564408,0.078145027,2.03129E-05,0.000128197,3847.067534
-246.5794075,0.076069581,0.099017785,0.076069581,1.98036E-05,0.0001292,3841.207952
-246.5294075,0.074210642,0.096506452,0.074210642,1.93013E-05,0.000130177,3844.853899
-246.4794075,0.072525295,0.094045673,0.072525295,1.88091E-05,0.00013113,3855.854958
-246.4294075,0.070532823,0.091515267,0.070532823,1.83031E-05,0.000132058,3853.609638
-246.3794075,0.068860829,0.0892214,0.068860829,1.78443E-05,0.000132962,3858.986146
-246.3294075,0.067308058,0.087110662,0.067308058,1.74221E-05,0.000133843,3863.365097
-246.2794075,0.065117201,0.083997489,0.065117201,1.67995E-05,0.000134699,3876.139764
-246.2294075,0.063355552,0.081955423,0.063355552,1.63911E-05,0.000135529,3865.244643
-246.1794075,0.061617744,0.079560455,0.061617744,1.59121E-05,0.000136336,3872.385113
-246.1294075,0.059559463,0.077331444,0.059559463,1.54663E-05,0.000137121,3850.92138
-246.0794075,0.057615637,0.074838236,0.057615637,1.49676E-05,0.000137882,3849.344913
-246.0294075,0.055917888,0.072023598,0.055917888,1.44047E-05,0.000138616,3881.914349
-245.9794075,0.053989325,0.070581468,0.053989325,1.41163E-05,0.000139329,3824.61053
-245.9294075,0.052233395,0.067702926,0.052233395,1.35406E-05,0.00014002,3857.543421
-245.8794075,0.0503096,0.064986531,0.0503096,1.29973E-05,0.000140684,3870.771312
-245.8294075,0.048738707,0.0628777,0.048738707,1.25755E-05,0.000141323,3875.675095
-245.7794075,0.046525912,0.060202318,0.046525912,1.20405E-05,0.000141938,3864.129613
-245.7294075,0.044587809,0.057688125,0.044587809,1.15376E-05,0.000142528,3864.556939
-245.6794075,0.042913906,0.055275034,0.042913906,1.1055E-05,0.000143093,3881.852531
-245.6294075,0.041020631,0.053133774,0.041020631,1.06268E-05,0.000143635,3860.127708
-245.5794075,0.039371528,0.050454577,0.039371528,1.00909E-05,0.000144153,3901.680476
-245.5294075,0.037697624,0.048396297,0.037697624,9.67926E-06,0.000144647,3894.680694
-245.4794075,0.035419018,0.045715191,0.035419018,9.14304E-06,0.000145118,3873.878432
-245.4294075,0.033682165,0.043388894,0.033682165,8.67778E-06,0.000145563,3881.427038
-245.3794075,0.031767909,0.040858487,0.031767909,8.1717E-06,0.000145984,3887.553334
-245.3294075,0.030169355,0.03886411,0.030169355,7.77282E-06,0.000146383,3881.390142
-245.2794075,0.028246511,0.036321305,0.028246511,7.26426E-06,0.000146759,3888.421857
-245.2294075,0.02616725,0.033409382,0.02616725,6.68188E-06,0.000147107,3916.152978
-245.1794075,0.024245361,0.030771197,0.024245361,6.15424E-06,0.000147428,3939.619366
-245.1294075,0.02232061,0.028732947,0.02232061,5.74659E-06,0.000147726,3884.149012
-245.0794075,0.02079836,0.026089991,0.02079836,5.218E-06,0.000148,3985.888698
-245.0294075,0.018805892,0.023860029,0.018805892,4.77201E-06,0.00014825,3940.877888
-244.9794075,0.016900218,0.021497488,0.016900218,4.2995E-06,0.000148477,3930.742519
-244.9294075,0.015025064,0.019023356,0.015025064,3.80467E-06,0.000148679,3949.10968
-244.8794075,0.013119392,0.016372772,0.013119392,3.27455E-06,0.000148856,4006.466242
-244.8294075,0.011414968,0.01407986,0.011414968,2.81597E-06,0.000149008,4053.651236
-244.7794075,0.009745833,0.012005364,0.009745833,2.40107E-06,0.000149139,4058.949536
-244.7294075,0.007835391,0.009123962,0.007835391,1.82479E-06,0.000149244,4293.853544
