Frequency,Channel A,Channel C
(ms),(V),(mV)

-250.12913724,0.36973510,52.95446000
-250.02913725,0.36314250,51.07740000
-249.92913725,0.35764860,50.26859000
-249.82913725,0.35435230,49.45977000
-249.72913725,0.34769870,47.58271000
-249.62913726,0.34220490,45.43095000
-249.52913726,0.33451350,44.62214000
-249.42913726,0.33231600,42.47039000
-249.32913726,0.32572340,41.12746000
-249.22913727,0.31913070,40.05921000
-249.12913727,0.31363690,38.16689000
-249.02913727,0.30918080,37.63276000
-248.92913727,0.30368700,36.56452000
-248.82913728,0.29709440,36.28983000
-248.72913728,0.29379810,34.94689000
-248.62913728,0.28390920,33.60395000
-248.52913728,0.28061290,33.06983000
-248.42913729,0.27402030,32.26102000
-248.32913729,0.27066290,30.91808000
-248.22913729,0.26407030,28.76633000
-248.12913729,0.25857650,28.23220000
-248.02913730,0.25308260,27.68282000
-247.92913730,0.24539130,26.08045000
-247.82913730,0.24319370,25.27164000
-247.72913730,0.23550240,23.92870000
-247.62913731,0.22775000,23.65401000
-247.52913731,0.22335490,22.84519000
-247.42913731,0.22005860,22.58576000
-247.32913731,0.21346600,21.77695000
-247.22913732,0.20907090,20.69344000
-247.12913732,0.20357710,18.81638000
-247.02913732,0.19478700,18.00757000
-246.92913732,0.18923210,17.47345000
-246.82913733,0.18373820,16.93932000
-246.72913733,0.17934320,16.38994000
-246.62913733,0.17275060,15.32169000
-246.52913733,0.16835550,13.70406000
-246.42913734,0.16286170,14.23819000
-246.32913734,0.15846660,12.89525000
-246.22913734,0.15071420,12.36113000
-246.12913734,0.14522040,12.08644000
-246.02913735,0.14082530,11.01819000
-245.92913735,0.13423270,9.67525300
-245.82913735,0.13093640,9.93468400
-245.72913735,0.12324500,8.59174600
-245.62913736,0.11549260,7.52350100
-245.52913736,0.11329510,7.78293200
-245.42913736,0.10670250,6.43999500
-245.32913737,0.10230740,5.90587200
-245.22913737,0.09461604,4.28824300
-245.12913737,0.08692467,3.21999700
-245.02913737,0.08472714,3.21999700
-244.92913738,0.07813454,2.13649100
-244.82913738,0.07148089,1.60236800
-244.72913738,0.06708582,1.06824600
-244.62913738,0.06269076,0.53412280
-244.52913739,0.05390062,0.00000000
-244.42913739,0.04950555,0.00000000
-244.32913739,0.04511049,-0.54938340
-244.22913739,0.03961665,-0.54938340
-244.12913740,0.03296301,-1.08350600
-244.02913740,0.02856794,-1.61762900
-243.92913740,0.02307411,-2.15175200
-243.82913740,0.01648150,-2.42644400
-243.72913741,0.01098767,-2.42644400
-243.62913741,0.00549384,-2.96056600
-243.52913741,0.00219753,-2.96056600
-243.42913741,-0.00555488,-4.30350400
-243.32913742,-0.01214748,-3.76938100
-243.22913742,-0.01434501,-5.11231800
-243.12913742,-0.02093761,-5.38701000
-243.02913742,-0.02643145,-5.66170100
-242.92913743,-0.03192528,-6.19582400
-242.82913743,-0.03967769,-6.72994700
-242.72913743,-0.04407276,-7.00463900
-242.62913743,-0.04956660,-8.34757600
-242.52913744,-0.05506043,-8.88169900
-242.42913744,-0.06055427,-9.15639000
-242.32913744,-0.06604810,-9.94994400
-242.22913744,-0.07044317,-10.49933000
-242.12913745,-0.07593700,-10.75876000
-242.02913745,-0.08149188,-11.30814000
-241.92913745,-0.08698571,-12.65108000
-241.82913745,-0.09247955,-12.37639000
-241.72913746,-0.09797338,-13.44463000
-241.62913746,-0.10346720,-14.25345000
-241.52913746,-0.10786230,-15.06226000
-241.42913746,-0.11445490,-15.59639000
-241.32913747,-0.12110850,-15.87108000
-241.22913747,-0.12440480,-16.40520000
-241.12913747,-0.12989870,-17.21401000
-241.02913747,-0.13539250,-17.74814000
-240.92913748,-0.13978760,-18.55695000
-240.82913748,-0.14747890,-19.89989000
-240.72913748,-0.14967650,-20.17458000
-240.62913748,-0.15633010,-20.17458000
-240.52913749,-0.16182400,-20.70870000
-240.42913749,-0.16621900,-21.51752000
-240.32913749,-0.17281160,-22.86045000
-240.22913749,-0.17830540,-23.13515000
-240.12913750,-0.18379930,-23.94396000
-240.02913750,-0.18709560,-25.01221000
-239.92913750,-0.19368820,-25.28690000
-239.82913750,-0.19814430,-25.54633000
-239.72913751,-0.20363810,-25.54633000
-239.62913751,-0.20693440,-26.88927000
-239.52913751,-0.21242830,-28.24747000
-239.42913751,-0.21902090,-28.24747000
-239.32913752,-0.22341590,-29.59040000
-239.22913752,-0.22890980,-29.84983000
-239.12913752,-0.23336590,-30.65865000
-239.02913752,-0.23885970,-30.93334000
-238.92913753,-0.24435360,-32.00158000
-238.82913753,-0.24764980,-32.81040000
-238.72913753,-0.25314370,-31.19277000
-238.62913753,-0.25753880,-31.19277000
-238.52913754,-0.26413140,-32.00158000
-238.42913754,-0.26742770,-32.00158000
-238.32913754,-0.27182270,-31.19277000
-238.22913754,-0.27737760,-32.53571000
-238.12913755,-0.28287140,-32.81040000
-238.02913755,-0.28726650,-33.34452000
-237.92913755,-0.29166160,-34.42803000
-237.82913755,-0.29715540,-34.68746000
-237.72913756,-0.30155050,-34.15334000
-237.62913756,-0.30594550,-34.15334000
-237.52913756,-0.31150040,-33.34452000
-237.42913756,-0.31589550,-33.08509000
-237.32913757,-0.31919180,-34.68746000
-237.22913757,-0.32358690,-34.42803000
-237.12913757,-0.33017950,-35.77097000
-237.02913757,-0.33457450,-35.49627000
-236.92913758,-0.33896960,-36.03040000
-236.82913758,-0.34336470,-36.03040000
-236.72913758,-0.34885850,-36.83921000
-236.62913758,-0.35331460,-36.30509000
-236.52913759,-0.35990720,-36.57978000
-236.42913759,-0.36320350,-37.38860000
-236.32913759,-0.36649980,-37.38860000
-236.22913759,-0.36979610,-37.92271000
-236.12913760,-0.37528990,-37.11390000
-236.02913760,-0.38078380,-38.18215000
-235.92913760,-0.38517890,-38.73153000
-235.82913761,-0.38963500,-38.99096000
-235.72913761,-0.39293130,-39.26565000
-235.62913761,-0.39732630,-39.54035000
-235.52913761,-0.40391890,-39.26565000
-235.42913762,-0.40611650,-40.60859000
-235.32913762,-0.40941280,-40.60859000
-235.22913762,-0.41710410,-40.60859000
-235.12913762,-0.41930170,-41.95153000
-235.02913763,-0.42259800,-42.76034000
-234.92913763,-0.42589430,-42.48565000
-234.82913763,-0.43144910,-42.76034000
-234.72913763,-0.43474540,-42.76034000
-234.62913764,-0.44023930,-43.56916000
-234.52913764,-0.44463430,-44.10328000
-234.42913764,-0.44793060,-43.82859000
-234.32913764,-0.45122690,-44.91210000
-234.22913765,-0.45452330,-45.72091000
-234.12913765,-0.46001710,-46.25504000
-234.02913765,-0.46441220,-46.52972000
-233.92913765,-0.46667070,-46.78915000
-233.82913766,-0.47106580,-46.52972000
-233.72913766,-0.47436210,-45.72091000
-233.62913766,-0.47985590,-46.25504000
-233.52913766,-0.48315220,-46.52972000
-233.42913767,-0.48644850,-45.98034000
-233.32913767,-0.48864610,-45.72091000
-233.22913767,-0.49413990,-46.52972000
-233.12913767,-0.49743620,-46.52972000
-233.02913768,-0.50183130,-46.78915000
-232.92913768,-0.50402880,-47.06385000
-232.82913768,-0.51068250,-48.13209000
-232.72913768,-0.51288000,-48.40678000
-232.62913769,-0.51727500,-48.40678000
-232.52913769,-0.52057140,-48.68148000
-232.42913769,-0.52167010,-48.40678000
-232.32913769,-0.52606520,-48.40678000
-232.22913770,-0.52936150,-49.21560000
-232.12913770,-0.53265780,-49.21560000
-232.02913770,-0.53705290,-48.94091000
-231.92913770,-0.54254670,-50.02441000
-231.82913771,-0.54590400,-50.28385000
-231.72913771,-0.54810150,-50.28385000
-231.62913771,-0.55029910,-51.09266000
-231.52913771,-0.55359540,-51.09266000
