Frequency,Channel A,Channel B,Channel C
(ms),(V),(V),(V)

-25.00669716,0.23837140,0.69420710,0.66597490
-25.00169717,0.23577710,0.68062510,0.66063360
-24.99669717,0.23303020,0.68871320,0.65254550
-24.99169717,0.22753630,0.66979000,0.64445730
-24.98669717,0.22753630,0.66444880,0.63911610
-24.98169717,0.22494200,0.72930650,0.63377490
-24.97669717,0.21944820,0.64827250,0.62568670
-24.97169717,0.21944820,0.64277860,0.62034550
-24.96669717,0.20327190,0.49703940,0.60951040
-24.96169717,0.21410690,0.62934930,0.60416920
-24.95669717,0.21136000,0.62385550,0.59882800
-24.95169717,0.20861310,0.61576730,0.58814550
-24.94669717,0.20586620,0.60508480,0.58265170
-24.94169717,0.20052500,0.60508480,0.58005740
-24.93669717,0.20052500,0.58875600,0.56922230
-24.93169717,0.19503110,0.58875600,0.55853990
-24.92669717,0.19503110,0.58341470,0.55579290
-24.92169717,0.19243680,0.56983270,0.54785740
-24.91669717,0.18968990,0.56449150,0.53976920
-24.91169717,0.18694300,0.55365650,0.53442800
-24.90669717,0.18144910,0.55640330,0.52633990
-24.90169717,0.18419610,0.54022710,0.51825170
-24.89669717,0.17336100,0.57257960,0.51550480
-24.89169717,0.17610790,0.52939200,0.50482240
-24.88669717,0.17061410,0.51855700,0.49673420
-24.88169717,0.16801980,0.52130390,0.49413990
-24.87669717,0.16801980,0.50512750,0.48605180
-24.87169717,0.16527290,0.49963370,0.47796360
-24.86669717,0.16252590,0.49429250,0.47262240
-24.86169717,0.15977900,0.49154560,0.46453420
-24.85669717,0.15443780,0.47536930,0.45644610
-24.85169717,0.15443780,0.47002810,0.44576360
-24.84669717,0.15169090,0.46728120,0.44042240
-24.84169717,0.14894400,0.45644610,0.42958730
-24.83669717,0.14360270,0.45644610,0.42699300
-24.83169717,0.14360270,0.44286410,0.42149920
-24.82669717,0.13810890,0.43218170,0.41081670
-24.82169717,0.13551460,0.42668780,0.40806980
-24.81669717,0.13276770,0.42134660,0.40013430
-24.81169717,0.13002080,0.40776460,0.38929920
-24.80669717,0.12727380,0.41051150,0.38670490
-24.80169717,0.12727380,0.39708210,0.38136370
-24.79669717,0.12193260,0.39433520,0.37052860
-24.79169717,0.12193260,0.38624710,0.36518740
-24.78669717,0.11643880,0.38075320,0.35984620
-24.78169717,0.11643880,0.35374190,0.34901110
-24.77669717,0.11109750,0.36183010,0.34366990
-24.77169717,0.10835060,0.35923570,0.33832870
-24.76669717,0.10560370,0.37541200,0.33024050
-24.76169717,0.10560370,0.34305950,0.32215230
-24.75669717,0.10285680,0.33756560,0.31681110
-24.75169717,0.09751557,0.43218170,0.30338170
-24.74669717,0.09476864,0.32413630,0.30078740
-24.74169717,0.09476864,0.32138930,0.29804050
-24.73669717,0.08942742,0.30780740,0.28735810
-24.73169717,0.08668050,0.30246610,0.28186420
-24.72669717,0.08393358,0.29712490,0.27392870
-24.72169717,0.08393358,0.29163100,0.26843490
-24.71669717,0.08118667,0.28628980,0.25775240
-24.71169717,0.07584544,0.27545480,0.25500550
-24.70669717,0.07309853,0.27011350,0.24707000
-24.70169717,0.07309853,0.26461970,0.23623490
-24.69669717,0.07035160,0.26461970,0.23364060
-24.69169717,0.06501038,0.25119030,0.22280550
-24.68669717,0.06226346,0.24310220,0.21471740
-24.68169717,0.05676962,0.25119030,0.21212310
-24.67669717,0.05676962,0.22952020,0.20403490
-24.67169717,0.05417531,0.22417900,0.19594680
-24.66669717,0.05142840,0.22143210,0.19060550
-24.66169717,0.04868148,0.21059700,0.18526430
-24.65669717,0.04593456,0.19976190,0.17717620
-24.65169717,0.04593456,0.19716760,0.16908800
-24.64669717,0.04059333,0.19167380,0.16374680
-24.64169717,0.03784642,0.17824440,0.15306430
-24.63669717,0.03509950,0.18083870,0.15031740
-24.63169717,0.02975827,0.17015630,0.14222930
-24.62669717,0.02975827,0.15932120,0.13154680
-24.62169717,0.02701135,0.15382740,0.12620560
-24.61669717,0.02426444,0.15382740,0.12345870
-24.61169717,0.02167013,0.13765110,0.11002930
-24.60669718,0.01892321,0.13765110,0.10728240
-24.60169718,0.01617629,0.12681600,0.10194120
-24.59669718,0.01342937,0.12147480,0.09125870
-24.59169718,0.01083506,0.11338660,0.08591747
-24.58669718,0.01083506,0.10529850,0.07782932
-24.58169718,0.00534123,0.09980466,0.07248810
-24.57669718,0.00259431,0.09171651,0.06439995
-24.57169718,-0.00274692,0.08103406,0.05631180
-24.56669718,-0.00274692,0.09171651,0.04822366
-24.56169718,-0.00549384,0.07019900,0.04288243
-24.55669718,-0.00824075,0.06745208,0.03754120
-24.55169718,-0.01098767,0.07019900,0.02670614
-24.54669718,-0.01632890,0.04578196,0.02136491
-24.54169718,-0.01907581,0.04318764,0.01602368
-24.53669718,-0.02182273,0.00000000,0.00793554
-24.53169718,-0.02182273,0.02426444,-0.00274692
-24.52669718,-0.02441704,0.01877060,-0.00274692
-24.52169718,-0.04074594,-0.02441704,-0.01617629
-24.51669718,-0.02991088,0.01068246,-0.02151752
-24.51169718,-0.03265779,0.00000000,-0.02685875
-24.50669718,-0.03525211,-0.01083506,-0.03494689
-24.50169718,-0.03799902,-0.01358198,-0.04028812
-24.49669718,-0.04349286,-0.01892321,-0.04578196
-24.49169718,-0.04349286,-0.02975827,-0.05371749
-24.48669718,-0.04608717,-0.03525211,-0.06180564
-24.48169718,-0.04883409,-0.01632890,-0.06455256
-24.47669718,-0.05158100,-0.04593456,-0.07264070
-24.47169718,-0.05432792,-0.05417531,-0.08332316
-24.46669718,-0.05966915,-0.08927481,-0.08332316
-24.46169718,-0.05966915,-0.07569283,-0.09400561
-24.45669718,-0.06241607,-0.08118667,-0.10209380
-24.45169718,-0.04074594,0.00259431,-0.10484070
-24.44669718,-0.06790990,-0.09736296,-0.11552310
-24.44169718,-0.07050421,-0.09995727,-0.12635820
-24.43669718,-0.07325113,-0.10819800,-0.12895250
-24.43169718,-0.07599805,-0.11353920,-0.13169940
-24.42669718,-0.07874496,-0.12162740,-0.14512880
-24.42169718,-0.08133927,-0.12437430,-0.14772310
-24.41669718,-0.08683310,-0.12971550,-0.15581130
-24.41169718,-0.08683310,-0.14055060,-0.16664630
-24.40669718,-0.08958003,-0.14055060,-0.16924060
-24.40169718,-0.09492125,-0.14863880,-0.17732880
-24.39669718,-0.09766817,-0.16481500,-0.18541690
-24.39169718,-0.10041510,-0.17030890,-0.19075810
-24.38669718,-0.09766817,-0.17030890,-0.19884630
-24.38169718,-0.10300940,-0.18099130,-0.20418750
-24.37669718,-0.10575630,-0.18099130,-0.20952870
-24.37169718,-0.10850320,-0.19182640,-0.21487000
-24.36669718,-0.11125010,-0.20266150,-0.22570500
-24.36169718,-0.11384450,-0.20266150,-0.23104630
-24.35669718,-0.11384450,-0.20800270,-0.23638750
-24.35169718,-0.11933830,-0.20266150,-0.24722260
-24.34669718,-0.12208520,-0.22433160,-0.25256380
-24.34169718,-0.12742640,-0.22433160,-0.25790500
-24.33669718,-0.12467950,-0.23516660,-0.26599310
-24.33169718,-0.12742640,-0.24050790,-0.27408130
-24.32669718,-0.13292030,-0.24325480,-0.27408130
-24.32169718,-0.13826150,-0.24584910,-0.28476380
-24.31669718,-0.13826150,-0.26477230,-0.29285190
-24.31169718,-0.14100840,-0.26751920,-0.29544620
-24.30669718,-0.13292030,-0.11079230,-0.30628130
-24.30169718,-0.14375530,-0.27835430,-0.31436940
-24.29669718,-0.14650230,-0.28369550,-0.31436940
-24.29169718,-0.14650230,-0.29727750,-0.32230500
-24.28669718,-0.15459040,-0.30261870,-0.33314000
-24.28169718,-0.15459040,-0.30536570,-0.33314000
-24.27669718,-0.15733730,-0.31345380,-0.34382250
-24.27169718,-0.16267850,-0.32154190,-0.35191060
