Frequency,Channel A,Channel B,Channel C
(ms),(V),(V),(V)

-2.50129130,0.01208644,0.05042119,0.08387254
-2.50029130,0.00769137,0.04169210,0.07404468
-2.49929130,0.00000000,0.02960566,0.06317910
-2.49829130,-0.00665364,0.02081553,0.05225247
-2.49729130,-0.01214748,0.01202539,0.04132584
-2.49629130,-0.01874008,0.00000000,0.03259675
-2.49529130,-0.02313515,-0.00988890,0.02282993
-2.49429130,-0.03082652,-0.02087657,0.01300208
-2.49329130,-0.03741912,-0.02966671,0.00427298
-2.49229130,-0.04407276,-0.03955561,-0.00665364
-2.49129130,-0.04846783,-0.04938347,-0.01861800
-2.49029130,-0.05396166,-0.05817360,-0.02844585
-2.48929130,-0.05945550,-0.06916127,-0.03717495
-2.48829130,-0.06824563,-0.07905018,-0.04810157
-2.48729130,-0.07373947,-0.08887804,-0.05792943
-2.48629130,-0.07929435,-0.09876694,-0.06879502
-2.48529130,-0.08478818,-0.10755710,-0.07862288
-2.48429130,-0.09247955,-0.11854470,-0.08954950
-2.48329130,-0.09687462,-0.12953240,-0.09931632
-2.48229130,-0.10346720,-0.13826150,-0.10914420
-2.48129130,-0.11115860,-0.14924920,-0.12007080
-2.48029130,-0.11555370,-0.16023680,-0.12770110
-2.47929130,-0.12110850,-0.17012580,-0.13752900
-2.47829130,-0.12989870,-0.18105240,-0.14839460
-2.47729130,-0.13539250,-0.19094130,-0.15932120
-2.47629130,-0.14088630,-0.19863260,-0.16914910
-2.47529130,-0.14638020,-0.20962030,-0.17897690
-2.47429130,-0.15187400,-0.22054690,-0.18874370
-2.47329130,-0.15852760,-0.22933710,-0.19857160
-2.47229130,-0.16731780,-0.23812720,-0.20949820
-2.47129130,-0.17171280,-0.24801610,-0.21932610
-2.47029130,-0.17830540,-0.25790500,-0.22805520
-2.46929130,-0.18379930,-0.26773290,-0.24001950
-2.46829130,-0.18929310,-0.27981930,-0.24874860
-2.46729130,-0.19594680,-0.28641190,-0.25637890
-2.46629130,-0.20144060,-0.29739960,-0.26730560
-2.46529130,-0.20693440,-0.30612870,-0.27713340
-2.46429130,-0.21352700,-0.31711630,-0.28476380
-2.46329130,-0.21902090,-0.32480770,-0.29672810
-2.46229130,-0.22451470,-0.33469660,-0.30655600
-2.46129130,-0.23220610,-0.34348680,-0.31528510
-2.46029130,-0.23885970,-0.35331460,-0.32401420
-2.45929130,-0.24215600,-0.36320350,-0.33494080
-2.45829130,-0.24984740,-0.37309240,-0.34360880
-2.45729130,-0.25644000,-0.38188250,-0.35453550
-2.45629130,-0.25973630,-0.39171040,-0.36326460
-2.45529130,-0.26742770,-0.40050050,-0.37309240
-2.45429130,-0.27298250,-0.41038950,-0.38292030
-2.45329130,-0.27847640,-0.41917960,-0.39055060
-2.45229130,-0.28397020,-0.42687090,-0.40141620
-2.45129130,-0.29056280,-0.43889640,-0.41124400
-2.45029130,-0.29605660,-0.44658770,-0.41997310
-2.44929130,-0.30155050,-0.45537780,-0.42870220
-2.44829130,-0.30704430,-0.46526680,-0.43853010
-2.44729130,-0.31479670,-0.47185930,-0.44616040
-2.44629130,-0.32029060,-0.48168720,-0.45488950
-2.44529130,-0.32688320,-0.49047740,-0.46251980
-2.44429130,-0.33127820,-0.49707000,-0.47124890
-2.44329130,-0.33787080,-0.50586010,-0.47997800
-2.44229130,-0.34226590,-0.51465020,-0.48760830
-2.44129130,-0.34885850,-0.52337930,-0.49633740
-2.44029130,-0.35441340,-0.53107070,-0.50506650
-2.43929130,-0.36100600,-0.53876200,-0.51269690
-2.43829130,-0.36649980,-0.54535470,-0.52032720
-2.43729130,-0.37199370,-0.55304600,-0.52795750
-2.43629130,-0.37748750,-0.56177510,-0.53558780
-2.43529130,-0.38298130,-0.56946650,-0.54321810
-2.43429130,-0.38963500,-0.57496030,-0.55084850
-2.43329130,-0.39512880,-0.58375040,-0.55847880
-2.43229130,-0.39952390,-0.59034310,-0.56610910
-2.43129130,-0.40611650,-0.59913320,-0.57373950
-2.43029130,-0.41161030,-0.60676350,-0.58027100
-2.42929130,-0.41710410,-0.61335610,-0.58686360
-2.42829130,-0.42259800,-0.61994870,-0.59339520
-2.42729130,-0.42699300,-0.62764010,-0.60102550
-2.42629130,-0.43364670,-0.63423270,-0.60865580
-2.42529130,-0.43914050,-0.64082530,-0.61738490
-2.42429130,-0.44683190,-0.64845560,-0.62281770
-2.42329130,-0.45122690,-0.65504820,-0.63044800
-2.42229130,-0.45452330,-0.66164080,-0.63917710
-2.42129130,-0.46221460,-0.66933220,-0.64570870
-2.42029130,-0.46776950,-0.67702350,-0.65120260
-2.41929130,-0.47216460,-0.68141860,-0.65773410
-2.41829130,-0.47765840,-0.68801120,-0.66316690
-2.41729130,-0.48315220,-0.69234530,-0.66866070
-2.41629130,-0.48974480,-0.69893780,-0.67519230
-2.41529130,-0.49413990,-0.70333290,-0.68062510
-2.41429130,-0.49963370,-0.71102430,-0.68605790
-2.41329130,-0.50512750,-0.71432060,-0.69155170
-2.41229130,-0.50958370,-0.72091320,-0.69698450
-2.41129130,-0.51617630,-0.72640710,-0.70028080
-2.41029130,-0.51837380,-0.72750580,-0.70461480
-2.40929130,-0.52606520,-0.73409840,-0.71010860
-2.40829130,-0.53046020,-0.73733370,-0.71334390
-2.40729130,-0.53595410,-0.74063000,-0.71773900
-2.40629130,-0.54144790,-0.74502500,-0.72207300
-2.40529130,-0.54700280,-0.74722250,-0.72646810
-2.40429130,-0.55139790,-0.75051890,-0.72970330
-2.40329130,-0.55799050,-0.75601270,-0.73299960
-2.40229130,-0.56238560,-0.75821020,-0.73733370
-2.40129130,-0.56787940,-0.76370410,-0.74063000
-2.40029130,-0.57227440,-0.76700040,-0.74606280
-2.39929130,-0.57776830,-0.77139540,-0.75045780
-2.39829130,-0.58332310,-0.77469170,-0.75369300
-2.39729130,-0.58881700,-0.77688930,-0.75479190
-2.39629130,-0.59431080,-0.77902570,-0.75912580
-2.39529130,-0.59760710,-0.78232200,-0.75912580
-2.39429130,-0.60200220,-0.78122330,-0.76022460
-2.39329130,-0.60749600,-0.78342080,-0.76242210
-2.39229130,-0.61408870,-0.78451960,-0.76461970
-2.39129130,-0.61738490,-0.78671710,-0.76571850
-2.39029130,-0.62293980,-0.78561840,-0.76681720
-2.38929130,-0.62733490,-0.78891470,-0.77005250
-2.38829130,-0.63282870,-0.79111220,-0.77225000
-2.38729130,-0.63722380,-0.79440850,-0.77548530
-2.38629130,-0.64052010,-0.79880360,-0.77988030
-2.38529130,-0.64711270,-0.80209980,-0.78317670
-2.38429130,-0.65260650,-0.80539610,-0.78751070
-2.38329130,-0.65590280,-0.80979120,-0.78970820
-2.38229130,-0.66029790,-0.81308750,-0.79514100
-2.38129130,-0.66365520,-0.81748260,-0.79953600
-2.38029130,-0.66914900,-0.82077890,-0.80277130
-2.37929130,-0.67244540,-0.82401410,-0.80716640
-2.37829130,-0.67793920,-0.82840920,-0.81150040
-2.37729130,-0.68343310,-0.83390310,-0.81479670
-2.37629130,-0.68782810,-0.83610060,-0.81803200
-2.37529130,-0.69332190,-0.83939690,-0.82242700
-2.37429130,-0.69551940,-0.84269320,-0.82676110
-2.37329130,-0.70107440,-0.84818700,-0.83005740
-2.37229130,-0.70656820,-0.85258210,-0.83439140
-2.37129130,-0.70876570,-0.85477960,-0.83988520
-2.37029130,-0.71425960,-0.86137220,-0.84421930
-2.36929130,-0.71645710,-0.86460750,-0.84861430
-2.36829130,-0.72414850,-0.86900260,-0.85294840
-2.36729130,-0.72634600,-0.87339760,-0.85728240
-2.36629130,-0.73183980,-0.87889150,-0.86167740
-2.36529130,-0.73293860,-0.88218770,-0.86601140
-2.36429130,-0.73849340,-0.88548400,-0.87150530
-2.36329130,-0.74178980,-0.88987910,-0.87364180
