Frequency,Channel A,Channel B,Channel C
(ms),(V),(V),(V)

-10.00352093,-0.01907581,0.00808815,-0.05112318
-10.00152093,-0.01098767,0.01617629,-0.04303504
-9.99952093,0.00259431,0.02701135,-0.03769381
-9.99752093,0.01342937,0.02151752,-0.03235258
-9.99552093,0.02701135,0.03509950,-0.02426444
-9.99352093,0.03784642,0.04852887,-0.01617629
-9.99152093,0.04593456,0.05661702,-0.00808815
-9.98952093,0.05676962,0.06745208,0.00000000
-9.98752093,0.06775729,0.06470516,0.00793554
-9.98552093,0.07859236,0.07828714,0.01877060
-9.98352093,0.09202173,0.09171651,0.02411183
-9.98152093,0.10285680,0.09171651,0.03219998
-9.97952093,0.11369190,0.09980466,0.04013551
-9.97752093,0.12452690,0.10804540,0.04822366
-9.97552093,0.13810890,0.12147480,0.06165303
-9.97352093,0.14894400,0.12956290,0.06699426
-9.97152093,0.15977900,0.14039800,0.07782932
-9.96952093,0.16801980,0.14573920,0.08591747
-9.96752093,0.17885480,0.17275060,0.09385301
-9.96552093,0.19243680,0.16740930,0.10194120
-9.96352093,0.20586620,0.17824440,0.11811740
-9.96152093,0.21410690,0.19167380,0.12620560
-9.95952093,0.23837140,0.04578196,0.13154680
-9.95752093,0.23837140,0.20525580,0.15031740
-9.95552093,0.24661210,0.22417900,0.15840560
-9.95352093,0.25744720,0.23226710,0.16908800
-9.95152093,0.26828230,0.23501400,0.17717620
-9.94952093,0.27911730,0.24035530,0.19060550
-9.94752093,0.29529360,0.26461970,0.19869370
-9.94552093,0.30353440,0.27545480,0.20937610
-9.94352093,0.31436940,0.28354290,0.22555240
-9.94152093,0.32245760,0.29163100,0.23623490
-9.93952093,0.33329260,0.31055430,0.25241120
-9.93752093,0.34687460,0.32673050,0.26309370
-9.93552093,0.35770970,0.32947750,0.27118180
-9.93352093,0.36579780,0.34031250,0.28186420
-9.93152093,0.37663290,0.35374190,0.29529360
-9.92952093,0.39021490,0.37007080,0.31146990
-9.92752093,0.39830300,0.38884140,0.32489930
-9.92552093,0.40913810,0.39967650,0.34107560
-9.92352093,0.41737880,0.41859970,0.35984620
-9.92152093,0.42821390,0.38884140,0.37861680
-9.91952093,0.44179590,0.45644610,0.39738740
-9.91752093,0.44988400,0.47811620,0.41890490
-9.91552093,0.46071910,0.50238070,0.44576360
-9.91352093,0.47155410,0.52939200,0.47521670
-9.91152093,0.47964230,0.55365650,0.50207540
-9.90952093,0.49047740,0.57807350,0.51825170
-9.90752093,0.50131240,0.59150280,0.53702240
-9.90552093,0.50680630,0.61851420,0.55319860
-9.90352093,0.52038820,0.62126110,0.57196920
-9.90152093,0.52847640,0.64277860,0.58814550
-9.89952093,0.53656450,0.66444880,0.60691610
-9.89752093,0.54739960,0.69680140,0.63102790
-9.89552093,0.55823460,0.70229520,0.64979860
-9.89352093,0.56906970,0.72121840,0.67131610
-9.89152093,0.57456360,0.74273590,0.68749240
-9.88952093,0.58539860,0.75631790,0.70351610
-9.88752093,0.59348670,0.77524110,0.71969230
-9.88552093,0.60157490,0.78867050,0.74120990
-9.88352093,0.61515690,0.81034060,0.75998040
-9.88152093,0.62324500,0.82926380,0.77615670
-9.87952093,0.63423270,0.85078130,0.80026860
-9.87752093,0.63957390,0.86161640,0.81629230
-9.87552093,0.64766200,0.95882670,0.83521540
-9.87352093,0.65315590,0.90480410,0.85398610
-9.87152093,0.66673790,0.92922110,0.87809790
-9.86952093,0.67482600,0.95623240,0.90770360
-9.86752093,0.68016730,0.97774990,0.93181540
-9.86552093,0.68840800,1.00750800,0.96142110
-9.86352093,0.69924310,1.03177300,0.98293860
-9.86152093,0.70733120,1.05344300,1.00705000
-9.85952093,0.71282510,1.06427800,1.03116200
-9.85752093,0.72091320,1.09388400,1.05268000
-9.85552093,0.72900130,1.12364200,1.07694400
-9.85352093,0.73708950,1.14531200,1.09830900
-9.85152093,0.74258330,1.15874100,1.12257300
-9.84952093,0.75067140,1.18575300,1.14409100
-9.84752093,0.75616530,1.21017000,1.17095000
-9.84552093,0.76425340,1.24252200,1.19765600
-9.84352093,0.77234160,1.25610400,1.21917300
-9.84152093,0.78058230,1.27487500,1.23535000
-9.83952093,0.78867050,1.29120400,1.25137300
-9.83752093,0.79401170,1.31272100,1.27029700
-9.83552093,0.79950550,1.33164400,1.28906700
-9.83352093,0.80484680,1.34782100,1.30509100
-9.83152093,0.81034060,1.35865600,1.32935500
-9.82952093,0.82117570,1.31821500,1.34537900
-9.82752093,0.82392260,1.40733700,1.36689700
-9.82552093,0.82926380,1.43709600,1.39909600
-9.82352093,0.83475760,1.47219500,1.43404300
-9.82152093,0.84284580,1.50180100,1.46624300
-9.81952093,0.84833960,1.53155900,1.49584900
-9.81752093,0.85368080,1.56391200,1.52545500
-9.81552093,0.85917470,1.58832900,1.55231300
-9.81352093,0.85917470,1.62876900,1.57367800
-9.81152093,0.86726280,1.63426300,1.59794300
-9.80952093,0.87535100,1.66661600,1.62739600
-9.80752093,0.87809790,1.68279200,1.65166000
-9.80552093,0.88359170,1.68553900,1.67043100
-9.80352093,0.88618610,1.72063900,1.68645500
-9.80152093,0.89442680,1.73956200,1.70797200
-9.79952093,0.89702110,1.76382600,1.73223700
-9.79752093,0.90251490,1.77740800,1.75360100
-9.79552093,0.90785620,1.79892600,1.76977800
-9.79352093,0.90785620,1.81525500,1.78854800
-9.79152093,0.91335000,1.84226600,1.81006600
-9.78952093,0.91869120,1.87187200,1.83417800
-9.78752093,0.91869120,1.89079500,1.86103600
-9.78552093,0.92418500,1.90712400,1.87996000
-9.78352093,0.92952630,1.88545300,1.90132500
-9.78152093,0.93227320,1.95290600,1.92024800
-9.77952093,0.93502010,1.96374100,1.94161300
-9.77752093,0.93776700,1.98815800,1.95778900
-9.77552093,0.94036140,2.00158700,1.97930700
-9.77352093,0.94310830,2.02325700,1.99807700
-9.77152093,0.94585520,2.04218000,2.01684800
-9.76952093,0.94860210,2.05561000,2.03027700
-9.76752093,0.95134900,2.04752200,2.04370600
-9.76552093,0.95394330,2.07453300,2.05438900
-9.76352093,0.95669030,2.09620300,2.07331200
-9.76152093,0.95943720,2.10963200,2.08399500
-9.75952093,0.95669030,2.08262100,2.09467700
-9.75752093,0.95943720,2.11772100,2.10017100
-9.75552093,0.96218410,2.12855600,2.10810600
-9.75352093,0.96218410,2.14213800,2.11894200
-9.75152093,0.96218410,2.14213800,2.12703000
-9.74952093,0.96477840,2.15282000,2.13237100
-9.74752093,0.96752530,2.16365500,2.14305300
-9.74552093,0.96477840,2.17723700,2.15388800
-9.74352093,0.96752530,2.19066600,2.15923000
-9.74152093,0.96752530,2.18532500,2.16731800
-9.73952093,0.97027220,2.18792000,2.16991200
-9.73752093,0.96752530,2.17983200,2.17265900
-9.73552093,0.97027220,2.19616000,2.17800000
-9.73352093,0.97027220,2.20150200,2.18334200
-9.73152093,0.97027220,2.20424800,2.18608800
-9.72952093,0.97027220,2.20424800,2.18868300
-9.72752093,0.97027220,2.20684300,2.19143000
-9.72552093,0.97027220,2.20959000,2.19417600
-9.72352093,0.96752530,2.21233700,2.19417600
-9.72152093,0.96752530,2.21493100,2.19677100
-9.71952093,0.96477840,2.20424800,2.19417600
-9.71752093,0.96477840,2.21493100,2.19677100
-9.71552093,0.96477840,2.21767800,2.19677100
-9.71352093,0.96218410,2.17449000,2.19677100
-9.71152093,0.96218410,2.20424800,2.19417600
-9.70952093,0.95943720,2.20424800,2.19417600
-9.70752093,0.95669030,2.20150200,2.19417600
-9.70552093,0.95394330,2.20150200,2.18868300
-9.70352093,0.95394330,2.19875500,2.18334200
-9.70152093,0.95134900,2.19066600,2.18334200
-9.69952093,0.95134900,2.19341300,2.18334200
-9.69752093,0.94585520,2.18532500,2.18074700
