Frequency,Channel A,Channel B,Channel C
(ms),(V),(mV),(mV)

-100.03026575,0.70540830,35.20937000,34.48297000
-100.01026575,0.70760590,35.64278000,34.92247000
-99.99026575,0.70980350,36.73544000,33.82981000
-99.97026575,0.71090220,35.97241000,34.70272000
-99.95026575,0.71419850,37.50458000,34.92247000
-99.93026575,0.71309970,36.41191000,35.68551000
-99.91026575,0.71419850,37.28482000,36.01514000
-99.89026575,0.71529730,37.17495000,36.44854000
-99.87026575,0.71639600,37.82811000,40.59333000
-99.85026575,0.71859360,37.72433000,36.44854000
-99.83026575,0.71859360,37.06507000,36.11891000
-99.81026575,0.71969230,38.04786000,36.77817000
-99.79026575,0.72079110,37.39470000,36.11891000
-99.77026576,0.72298860,38.48737000,35.03235000
-99.75026576,0.72079110,37.06507000,34.59285000
-99.73026576,0.72188990,38.59724000,36.99182000
-99.71026576,0.72518620,37.82811000,36.88805000
-99.69026576,0.72738370,38.70712000,36.33866000
-99.67026576,0.72848250,39.36027000,37.43133000
-99.65026576,0.72738370,39.79978000,40.81309000
-99.63026576,0.72958120,39.14052000,36.66829000
-99.61026576,0.72958120,39.79978000,38.30424000
-99.59026576,0.73177870,38.92687000,40.26981000
-99.57026576,0.73177870,38.48737000,37.32145000
-99.55026576,0.73287760,39.58002000,36.88805000
-99.53026576,0.73507510,38.26761000,37.10170000
-99.51026576,0.73617390,40.45293000,37.65108000
-99.49026576,0.73727260,38.81699000,37.65108000
-99.47026576,0.73727260,40.01953000,40.81309000
-99.45026576,0.73843240,39.58002000,39.50677000
-99.43026576,0.74063000,40.34306000,40.70321000
-99.41026576,0.74172870,39.58002000,39.06727000
-99.39026576,0.74172870,40.56281000,40.15993000
-99.37026577,0.74172870,40.56281000,40.37968000
-99.35026577,0.74502500,41.11220000,40.37968000
-99.33026577,0.74392620,39.90966000,40.48956000
-99.31026577,0.74612380,41.22207000,39.28702000
-99.29026577,0.74612380,40.45293000,38.63387000
-99.27026577,0.74832130,41.76535000,39.50677000
-99.25026577,0.74832130,40.78257000,40.59333000
-99.23026577,0.75271640,41.76535000,40.59333000
-99.21026577,0.75271640,42.85801000,41.25259000
-99.19026577,0.75381520,43.07777000,46.27030000
-99.17026577,0.75491390,43.51727000,42.66879000
-99.15026577,0.75601270,43.18764000,42.99841000
-99.13026577,0.75601270,43.18764000,42.44903000
-99.11026577,0.75821020,42.64436000,41.79587000
-99.09026577,0.75821020,43.29752000,40.59333000
-99.07026577,0.75930900,42.96789000,42.44903000
-99.05026577,0.76150650,43.84690000,42.01563000
-99.03026577,0.76150650,43.62715000,42.44903000
-99.01026577,0.76260530,43.29752000,41.57612000
-98.99026577,0.76370410,43.73703000,43.10829000
-98.97026578,0.76370410,44.39018000,42.99841000
-98.95026578,0.76480280,43.73703000,43.21817000
-98.93026578,0.76700040,44.60994000,43.87132000
-98.91026578,0.76700040,43.73703000,42.66879000
-98.89026578,0.76919790,44.82969000,42.55891000
-98.87026578,0.77029660,44.17043000,42.01563000
-98.85026578,0.77029660,44.93957000,42.12550000
-98.83026578,0.77139540,43.84690000,42.01563000
-98.81026578,0.77359290,45.81248000,42.66879000
-98.79026578,0.77469170,44.60994000,45.28751000
-98.77026578,0.77579050,46.14211000,43.43182000
-98.75026578,0.77804910,45.59272000,44.52448000
-98.73026578,0.77804910,46.03223000,45.50726000
-98.71026578,0.77914790,45.48285000,44.19485000
-98.69026578,0.77914790,45.48285000,45.06776000
-98.67026578,0.78244410,44.82969000,43.43182000
-98.65026578,0.78134540,45.26920000,44.41460000
-98.63026578,0.78134540,46.36186000,43.76144000
-98.61026578,0.78464170,45.92236000,43.43182000
-98.59026578,0.78354290,46.25198000,45.06776000
-98.57026579,0.78574040,46.14211000,45.50726000
-98.55026579,0.78793800,46.14211000,45.94677000
-98.53026579,0.78793800,46.79526000,46.38017000
-98.51026579,0.78903680,47.99780000,46.70980000
-98.49026579,0.79013550,47.99780000,47.03333000
-98.47026579,0.79123430,47.99780000,45.94677000
-98.45026579,0.79233300,47.12489000,46.38017000
-98.43026579,0.79233300,47.99780000,47.14321000
-98.41026579,0.79453060,47.56440000,45.61714000
-98.39026579,0.79672810,48.10768000,46.05054000
-98.37026579,0.79672810,47.45452000,45.72702000
-98.35026579,0.79782690,47.99780000,46.49005000
-98.33026579,0.79672810,48.76694000,50.74472000
-98.31026579,0.79892560,48.21756000,48.23587000
-98.29026579,0.80002440,48.98669000,48.23587000
-98.27026579,0.80112310,48.76694000,48.23587000
-98.25026579,0.80332070,50.51276000,49.10878000
-98.23026579,0.80441950,49.42009000,48.45562000
-98.21026579,0.80332070,50.18923000,49.43841000
-98.19026579,0.80441950,49.20034000,47.47284000
-98.17026580,0.80771580,48.21756000,47.47284000
-98.15026580,0.80771580,48.98669000,47.25308000
-98.13026580,0.80881450,50.18923000,47.69259000
-98.11026580,0.80881450,48.87682000,47.47284000
-98.09026580,0.80881450,49.42009000,47.47284000
-98.07026580,0.81101210,48.76694000,48.77914000
-98.05026580,0.81430840,49.52997000,48.56550000
-98.03026580,0.81320960,49.96947000,49.54828000
-98.01026580,0.81430840,51.71530000,50.74472000
-97.99026580,0.81540720,50.84239000,50.85460000
-97.97026580,0.81766570,50.73251000,49.87181000
-97.95026580,0.81766570,51.06214000,50.20144000
